experiment_id,timestamp,repair_set_type,repair_set_focus,requested_repair_set_size,edit_set_sizing_strategy,actual_repair_set_size,edit_set_path,target_class,param_bound,margin,baseline_model_path,baseline_accuracy_test_set,baseline_accuracy_edit_set,repair_runtime_seconds,gurobi_barrier_iterations,repair_successful,repaired_model_path,repaired_accuracy_test_set,repaired_accuracy_edit_set,repaired_accuracy_drawdown_set,error_message
exp_0001,2025-06-01 20:33:52,misclassified,incorrect_only,10,flexible,10,data/edit_sets/misclassified_edit_dataset.pt,,15.0,2.0,artifacts/alexnet_base.pth,0.7208,0.0,10.550034523010254,51,True,artifacts/experiments/exp_0001_repaired.pth,0.5565,1.0,0.556056056056056,
exp_0002,2025-06-01 20:34:31,class_homogeneous_incorrect,incorrect_only,10,flexible,10,data/edit_sets/class_0_airplane_edit_dataset.pt,0,15.0,2.0,artifacts/alexnet_base.pth,0.7208,0.6,10.991930723190308,51,True,artifacts/experiments/exp_0002_repaired.pth,0.6894,1.0,0.6890890890890891,
exp_0003,2025-06-01 20:35:16,class_homogeneous_incorrect,incorrect_only,10,flexible,10,data/edit_sets/class_1_automobile_edit_dataset.pt,1,15.0,2.0,artifacts/alexnet_base.pth,0.7208,0.9,12.149802684783936,51,True,artifacts/experiments/exp_0003_repaired.pth,0.7139,1.0,0.7136136136136136,
exp_0004,2025-06-01 20:36:04,class_homogeneous_incorrect,incorrect_only,10,flexible,10,data/edit_sets/class_2_bird_edit_dataset.pt,2,15.0,2.0,artifacts/alexnet_base.pth,0.7208,0.8,12.279034614562988,51,True,artifacts/experiments/exp_0004_repaired.pth,0.6978,1.0,0.6974974974974975,
exp_0005,2025-06-01 20:37:07,class_homogeneous_incorrect,incorrect_only,10,flexible,10,data/edit_sets/class_3_cat_edit_dataset.pt,3,15.0,2.0,artifacts/alexnet_base.pth,0.7208,0.8,11.648956537246704,51,True,artifacts/experiments/exp_0005_repaired.pth,0.7075,1.0,0.7072072072072072,
exp_0006,2025-06-01 20:37:50,class_homogeneous_incorrect,incorrect_only,10,flexible,10,data/edit_sets/class_4_deer_edit_dataset.pt,4,15.0,2.0,artifacts/alexnet_base.pth,0.7208,0.5,10.714337348937988,51,True,artifacts/experiments/exp_0006_repaired.pth,0.551,1.0,0.5505505505505506,
exp_0007,2025-06-01 20:38:48,class_homogeneous_incorrect,incorrect_only,10,flexible,10,data/edit_sets/class_5_dog_edit_dataset.pt,5,15.0,2.0,artifacts/alexnet_base.pth,0.7208,0.6,10.47651219367981,52,True,artifacts/experiments/exp_0007_repaired.pth,0.5204,1.0,0.5199199199199199,
exp_0008,2025-06-01 20:39:28,class_homogeneous_incorrect,incorrect_only,10,flexible,10,data/edit_sets/class_6_frog_edit_dataset.pt,6,15.0,2.0,artifacts/alexnet_base.pth,0.7208,0.5,10.373260021209717,51,True,artifacts/experiments/exp_0008_repaired.pth,0.7152,1.0,0.7149149149149149,
exp_0009,2025-06-01 20:40:14,class_homogeneous_incorrect,incorrect_only,10,flexible,10,data/edit_sets/class_7_horse_edit_dataset.pt,7,15.0,2.0,artifacts/alexnet_base.pth,0.7208,0.8,10.601150035858154,57,True,artifacts/experiments/exp_0009_repaired.pth,0.6918,1.0,0.6914914914914915,
exp_0010,2025-06-01 20:41:00,class_homogeneous_incorrect,incorrect_only,10,flexible,10,data/edit_sets/class_8_ship_edit_dataset.pt,8,15.0,2.0,artifacts/alexnet_base.pth,0.7208,0.8,10.036406755447388,51,True,artifacts/experiments/exp_0010_repaired.pth,0.721,1.0,0.7207207207207207,
exp_0011,2025-06-01 20:41:39,class_homogeneous_incorrect,incorrect_only,10,flexible,10,data/edit_sets/class_9_truck_edit_dataset.pt,9,15.0,2.0,artifacts/alexnet_base.pth,0.7208,0.7,13.308616876602173,52,True,artifacts/experiments/exp_0011_repaired.pth,0.7096,1.0,0.7093093093093094,
exp_0012,2025-06-01 20:42:30,misclassified,incorrect_only,25,flexible,25,data/edit_sets/misclassified_edit_dataset.pt,,15.0,2.0,artifacts/alexnet_base.pth,0.7208,0.0,13.574825525283813,63,True,artifacts/experiments/exp_0012_repaired.pth,0.446,1.0,0.4446115288220551,
exp_0013,2025-06-01 20:43:13,class_homogeneous_incorrect,incorrect_only,25,flexible,25,data/edit_sets/class_0_airplane_edit_dataset.pt,0,15.0,2.0,artifacts/alexnet_base.pth,0.7208,0.76,18.586870670318604,66,True,artifacts/experiments/exp_0013_repaired.pth,0.6168,1.0,0.6158395989974937,
exp_0014,2025-06-01 20:44:07,class_homogeneous_incorrect,incorrect_only,25,flexible,25,data/edit_sets/class_1_automobile_edit_dataset.pt,1,15.0,2.0,artifacts/alexnet_base.pth,0.7208,0.88,16.713215589523315,95,True,artifacts/experiments/exp_0014_repaired.pth,0.7065,1.0,0.7057644110275689,
exp_0015,2025-06-01 20:45:01,class_homogeneous_incorrect,incorrect_only,25,flexible,25,data/edit_sets/class_2_bird_edit_dataset.pt,2,15.0,2.0,artifacts/alexnet_base.pth,0.7208,0.64,14.330105066299438,68,True,artifacts/experiments/exp_0015_repaired.pth,0.6001,1.0,0.5990977443609022,
exp_0016,2025-06-01 20:45:50,class_homogeneous_incorrect,incorrect_only,25,flexible,25,data/edit_sets/class_3_cat_edit_dataset.pt,3,15.0,2.0,artifacts/alexnet_base.pth,0.7208,0.68,16.282000064849854,82,True,artifacts/experiments/exp_0016_repaired.pth,0.6403,1.0,0.6393984962406015,
exp_0017,2025-06-01 20:46:47,class_homogeneous_incorrect,incorrect_only,25,flexible,25,data/edit_sets/class_4_deer_edit_dataset.pt,4,15.0,2.0,artifacts/alexnet_base.pth,0.7208,0.56,13.241303443908691,64,True,artifacts/experiments/exp_0017_repaired.pth,0.4028,1.0,0.4013032581453634,
exp_0018,2025-06-01 20:47:33,class_homogeneous_incorrect,incorrect_only,25,flexible,25,data/edit_sets/class_5_dog_edit_dataset.pt,5,15.0,2.0,artifacts/alexnet_base.pth,0.7208,0.56,17.617329597473145,99,True,artifacts/experiments/exp_0018_repaired.pth,0.459,1.0,0.45764411027568924,
exp_0019,2025-06-01 20:48:32,class_homogeneous_incorrect,incorrect_only,25,flexible,25,data/edit_sets/class_6_frog_edit_dataset.pt,6,15.0,2.0,artifacts/alexnet_base.pth,0.7208,0.68,12.910609245300293,54,True,artifacts/experiments/exp_0019_repaired.pth,0.59,1.0,0.5889724310776943,
exp_0020,2025-06-01 20:49:18,class_homogeneous_incorrect,incorrect_only,25,flexible,25,data/edit_sets/class_7_horse_edit_dataset.pt,7,15.0,2.0,artifacts/alexnet_base.pth,0.7208,0.72,12.85762906074524,51,True,artifacts/experiments/exp_0020_repaired.pth,0.6028,1.0,0.6018045112781955,
